"from","to","type"
"P01011","P00747","io"
"P01011","P02751","io"
"P01011","Q9BX10","io"
"P01011","P14210","io"
"P01011","P07996","io"
"P01011","P07225","io"
"P01011","Q8NBF2","io"
"P01011","P19652","io"
"P01011","P02749","io"
"P01011","P02768","io"
"P01011","P00488","io"
"P01011","Q14393","io"
"P01011","P01127","io"
"P01011","P29622","io"
"P01011","P56202","io"
"P01011","P02763","io"
"P01011","P01133","io"
"P01011","P04196","io"
"P01011","P00746","io"
"P01011","Q9NTK5","io"
"P01011","Q08380","io"
"P01011","P12814","io"
"P01011","P05067","io"
"P01011","Q7L3B6","io"
"P01011","Q13103","io"
"P01011","P04075","io"
"P01011","Q86UX7","io"
"P01011","P01137","io"
"P01011","P12259","io"
"P01011","O43707","io"
"P01011","Q92520","io"
"P01011","O43915","io"
"P01011","P01033","io"
"P01011","P01042","io"
"P01011","Q9UNF1","io"
"P01011","P04275","io"
"P01011","O00292","io"
"P01011","P15692","io"
"P01011","P49767","io"
"P01011","P04085","io"
"P01011","Q99969","io"
"P01011","P35609","io"
"P01011","P05121","io"
"P01011","Q6UXV4","io"
"P01011","P01344","io"
"P01011","P04217","io"
"P01011","P10600","io"
"P01011","P49765","io"
"P01011","P02776","io"
"P01011","Q16610","io"
"P01011","Q9UEU0","io"
"P01011","P02671","io"
"P01011","Q06033","io"
"P01011","P05452","io"
"P01011","P62328","io"
"P01011","P35625","io"
"P01011","O00391","io"
"P01011","P01023","io"
"P01011","P02675","io"
"P01011","Q8NBX0","io"
"P01011","Q9NUQ9","io"
"P01011","P61812","io"
"P01011","P09486","io"
"P01011","Q8NBM8","io"
"P01011","P10124","io"
"P01011","P01009","io"
"P01011","P02775","io"
"P01011","P02765","io"
"P01011","Q14624","io"
"P01011","P00451","io"
"P01011","P05019","io"
"P01011","O14498","io"
"P01011","P49908","io"
"P01011","P05155","io"
"P01011","Q9NXH8","io"
"P01011","Q13201","io"
"P01011","P02679","io"
"P01011","P08697","io"
"P01011","P10909","io"
"P01011","Q9Y6I9","io"
"P01009","P01033","io"
"P01009","P01344","io"
"P01009","Q13103","io"
"P01009","Q9Y6I9","io"
"P01009","P04275","io"
"P01009","Q8NBF2","io"
"P01009","P49908","io"
"P01009","P01042","io"
"P01009","P04075","io"
"P01009","P10909","io"
"P01009","P02675","io"
"P01009","Q14624","io"
"P01009","O43707","io"
"P01009","O14498","io"
"P01009","P19652","io"
"P01009","O00391","io"
"P01009","P02671","io"
"P01009","P05067","io"
"P01009","Q7L3B6","io"
"P01009","P62328","io"
"P01009","P02763","io"
"P01009","P02751","io"
"P01009","P05155","io"
"P01009","P56202","io"
"P01009","P02679","io"
"P01009","O43915","io"
"P01009","P02776","io"
"P01009","P05019","io"
"P01009","Q6UXV4","io"
"P01009","Q8NBX0","io"
"P01009","P01137","io"
"P01009","P01023","io"
"P01009","P12814","io"
"P01009","P00746","io"
"P01009","Q99969","io"
"P01009","P49767","io"
"P01009","P00747","io"
"P01009","Q16610","io"
"P01009","Q9UNF1","io"
"P01009","P10600","io"
"P01009","P15692","io"
"P01009","P02765","io"
"P01009","Q13201","io"
"P01009","P08697","io"
"P01009","Q9NUQ9","io"
"P01009","P02775","io"
"P01009","P04196","io"
"P01009","P29622","io"
"P01009","Q9UEU0","io"
"P01009","O00292","io"
"P01009","P09486","io"
"P01009","Q9NTK5","io"
"P01009","Q06033","io"
"P01009","P02768","io"
"P01009","P14210","io"
"P01009","P04217","io"
"P01009","Q9BX10","io"
"P01009","P49765","io"
"P01009","P00451","io"
"P01009","P12259","io"
"P01009","P01011","io"
"P01009","Q92520","io"
"P01009","P01127","io"
"P01009","P02749","io"
"P01009","Q86UX7","io"
"P01009","P07996","io"
"P01009","P05121","io"
"P01009","P05452","io"
"P01009","Q08380","io"
"P01009","Q8NBM8","io"
"P01009","Q9NXH8","io"
"P01009","P07225","io"
"P01009","Q14393","io"
"P01009","P10124","io"
"P01009","P00488","io"
"P01009","P35609","io"
"P01009","P35625","io"
"P01009","P04085","io"
"P01009","P01133","io"
"P01009","P61812","io"
"P19652","P15692","io"
"P19652","Q08380","io"
"P19652","P00747","io"
"P19652","Q13103","io"
"P19652","P61812","io"
"P19652","P07996","io"
"P19652","P10600","io"
"P19652","P02776","io"
"P19652","P02679","io"
"P19652","Q13201","io"
"P19652","P01009","io"
"P19652","P49908","io"
"P19652","P10909","io"
"P19652","P01127","io"
"P19652","P01023","io"
"P19652","P35625","io"
"P19652","P01011","io"
"P19652","Q99969","io"
"P19652","P05121","io"
"P19652","P00451","io"
"P19652","P04217","io"
"P19652","P02751","io"
"P19652","P02749","io"
"P19652","P01344","io"
"P19652","P05452","io"
"P19652","Q86UX7","io"
"P19652","Q9BX10","io"
"P19652","P49765","io"
"P19652","P14210","io"
"P19652","O14498","io"
"P19652","P05155","io"
"P19652","P05019","io"
"P19652","O00292","io"
"P19652","Q16610","io"
"P19652","P04196","io"
"P19652","P04275","io"
"P19652","O43707","io"
"P19652","P02671","io"
"P19652","Q7L3B6","io"
"P19652","P29622","io"
"P19652","Q9NTK5","io"
"P19652","P02775","io"
"P19652","P62328","io"
"P19652","P02768","io"
"P19652","P01033","io"
"P19652","P49767","io"
"P19652","P01133","io"
"P19652","P35609","io"
"P19652","P00488","io"
"P19652","O00391","io"
"P19652","P00746","io"
"P19652","Q9Y6I9","io"
"P19652","P02763","io"
"P19652","P05067","io"
"P19652","Q9NUQ9","io"
"P19652","Q8NBM8","io"
"P19652","P02675","io"
"P19652","Q6UXV4","io"
"P19652","P07225","io"
"P19652","P04075","io"
"P19652","P04085","io"
"P19652","Q9NXH8","io"
"P19652","Q06033","io"
"P19652","P56202","io"
"P19652","P01042","io"
"P19652","Q92520","io"
"P19652","Q9UEU0","io"
"P19652","Q8NBF2","io"
"P19652","Q8NBX0","io"
"P19652","P12814","io"
"P19652","P12259","io"
"P19652","Q9UNF1","io"
"P19652","P10124","io"
"P19652","O43915","io"
"P19652","P08697","io"
"P19652","Q14624","io"
"P19652","P01137","io"
"P19652","P02765","io"
"P19652","Q14393","io"
"P19652","P09486","io"
"P01023","P00488","io"
"P01023","P19652","io"
"P01023","P35609","io"
"P01023","P02763","io"
"P01023","Q16610","io"
"P01023","O14498","io"
"P01023","Q13103","io"
"P01023","Q8NBF2","io"
"P01023","P08697","io"
"P01023","Q86UX7","io"
"P01023","P12259","io"
"P01023","O43915","io"
"P01023","Q92520","io"
"P01023","P29622","io"
"P01023","P49765","io"
"P01023","P10124","io"
"P01023","P01133","io"
"P01023","P01033","io"
"P01023","Q99969","io"
"P01023","P02775","io"
"P01023","P14210","io"
"P01023","P02679","io"
"P01023","P02751","io"
"P01023","P01009","io"
"P01023","Q08380","io"
"P01023","Q9UNF1","io"
"P01023","P01344","io"
"P01023","P49908","io"
"P01023","Q9NXH8","io"
"P01023","P01137","io"
"P01023","P04085","io"
"P01023","P04196","io"
"P01023","P04275","io"
"P01023","Q14393","io"
"P01023","Q06033","io"
"P01023","Q13201","io"
"P01023","P02749","io"
"P01023","P07996","io"
"P01023","P05019","io"
"P01023","P56202","io"
"P01023","P10600","io"
"P01023","P15692","io"
"P01023","P61812","io"
"P01023","O00292","io"
"P01023","Q14624","io"
"P01023","Q9UEU0","io"
"P01023","Q8NBM8","io"
"P01023","P04075","io"
"P01023","P05121","io"
"P01023","P62328","io"
"P01023","P02671","io"
"P01023","Q6UXV4","io"
"P01023","P05155","io"
"P01023","P04217","io"
"P01023","Q9NTK5","io"
"P01023","Q8NBX0","io"
"P01023","P01042","io"
"P01023","P12814","io"
"P01023","P02776","io"
"P01023","P01127","io"
"P01023","Q7L3B6","io"
"P01023","Q9Y6I9","io"
"P01023","P49767","io"
"P01023","P02675","io"
"P01023","O00391","io"
"P01023","P03952","io"
"P01023","P00746","io"
"P01023","P05067","io"
"P01023","P10909","io"
"P01023","P02768","io"
"P01023","P02765","io"
"P01023","P01011","io"
"P01023","P35625","io"
"P01023","P09486","io"
"P01023","P07225","io"
"P01023","Q9NUQ9","io"
"P01023","Q9BX10","io"
"P01023","P05452","io"
"P01023","P00747","io"
"P01023","P00451","io"
"P01023","O43707","io"
"P04217","P05452","io"
"P04217","O00292","io"
"P04217","O43707","io"
"P04217","P02675","io"
"P04217","P02751","io"
"P04217","Q14624","io"
"P04217","Q9BX10","io"
"P04217","P01137","io"
"P04217","P01009","io"
"P04217","P01011","io"
"P04217","P04075","io"
"P04217","P00746","io"
"P04217","P29622","io"
"P04217","O43915","io"
"P04217","P49767","io"
"P04217","P07996","io"
"P04217","P00488","io"
"P04217","Q92520","io"
"P04217","P02768","io"
"P04217","P01344","io"
"P04217","P35625","io"
"P04217","P12814","io"
"P04217","Q8NBM8","io"
"P04217","Q9UNF1","io"
"P04217","Q9NUQ9","io"
"P04217","P02775","io"
"P04217","P56202","io"
"P04217","Q06033","io"
"P04217","P08697","io"
"P04217","P02776","io"
"P04217","P14210","io"
"P04217","Q08380","io"
"P04217","P04196","io"
"P04217","P10909","io"
"P04217","Q14393","io"
"P04217","Q6UXV4","io"
"P04217","P49908","io"
"P04217","P00747","io"
"P04217","Q9NTK5","io"
"P04217","P10124","io"
"P04217","Q7L3B6","io"
"P04217","P02765","io"
"P04217","P05067","io"
"P04217","Q9NXH8","io"
"P04217","P05019","io"
"P04217","P02749","io"
"P04217","P01033","io"
"P04217","Q13201","io"
"P04217","P01133","io"
"P04217","P49765","io"
"P04217","Q8NBF2","io"
"P04217","Q99969","io"
"P04217","Q8NBX0","io"
"P04217","P04275","io"
"P04217","Q9Y6I9","io"
"P04217","P01042","io"
"P04217","Q86UX7","io"
"P04217","Q9UEU0","io"
"P04217","P02763","io"
