"uniprotID","proteinName","radiality","integration"
"Q13444","Disintegrin and metalloproteinase domain-containing protein 15 (ADAM 15) (EC 3.4.24.-) (Metalloprotease RGD disintegrin protein) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15) (MDC-15) (Metargidin)",0.609756636190981,0
"P78536","Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)",0.689832604566936,0
"Q9BYF1","Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (Angiotensin-converting enzyme homolog) (ACEH) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]",0.630957113201714,0
"Q12979","Active breakpoint cluster region-related protein",0.673391192968508,0
"Q9UNA3","Alpha-1,4-N-acetylglucosaminyltransferase (Alpha4GnT) (EC 2.4.1.-)",0.6020825051897,0
"P63151","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)",0.635395963075836,0
"P12821","Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]",0.630957113201714,0
"P55789","FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration) (hERV1) (Hepatopoietin)",0.497118060156354,0
"Q9Y5C1","Angiopoietin-related protein 3 (Angiopoietin-5) (ANG-5) (Angiopoietin-like protein 3) [Cleaved into: ANGPTL3(17-221); ANGPTL3(17-224)]",0.590554745815114,0.00013250298131708
"Q96LA8","Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6) (Histone-arginine N-methyltransferase PRMT6)",0.590554745815114,0.00013250298131708
"Q9UKV5","E3 ubiquitin-protein ligase AMFR (EC 2.3.2.27) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (RING-type E3 ubiquitin transferase AMFR) (gp78)",0.660770283998057,0.000927520869219557
"Q9BY76","Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP)",0.660770283998057,0.000927520869219557
"Q12802","A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47)",0.643655315577934,0
"Q07075","Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (Differentiation antigen gp160) (CD antigen CD249)",0.685062497239521,0
"Q86XL3","Ankyrin repeat and LEM domain-containing protein 2 (LEM domain-containing protein 4)",0.590422242833797,0
"Q96NW4","Ankyrin repeat domain-containing protein 27 (VPS9 domain-containing protein)",0.673391192968508,0
"Q6Q788","Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3)",0.630957113201714,0
"Q60I27","ALS2 C-terminal-like protein",0.606488229318493,0.000265005962634159
"Q96Q42","Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein)",0.636455986926373,0.000265005962634159
"A8MVX0","Rho guanine nucleotide exchange factor 33",0.636455986926373,0.000265005962634159
"Q9NXL2","Rho guanine nucleotide exchange factor 38",0.657281038823374,0
"Q9NR81","Rho guanine nucleotide exchange factor 3 (Exchange factor found in platelets and leukemic and neuronal tissues) (XPLN)",0.66063778101674,0
"Q12774","Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM)",0.674727264696789,0
"Q7Z628","Neuroepithelial cell-transforming gene 1 protein (Proto-oncogene p65 Net1) (Rho guanine nucleotide exchange factor 8)",0.674727264696789,0
"Q5VV41","Rho guanine nucleotide exchange factor 16 (Ephexin-4)",0.673391192968508,0
"P62330","ADP-ribosylation factor 6",0.673391192968508,0
"Q9HCE6","Rho guanine nucleotide exchange factor 10-like protein (GrinchGEF)",0.673391192968508,0
"O15084","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (PP6-ARS-A) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-A) (Ankyrin repeat domain-containing protein 28) (Phosphatase interactor targeting protein hnRNP K) (PITK)",0.673391192968508,0
"P35626","Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3)",0.673391192968508,0
"O94989","Rho guanine nucleotide exchange factor 15 (Ephexin-5) (E5) (Vsm-RhoGEF)",0.673391192968508,0
"Q8IW93","Rho guanine nucleotide exchange factor 19 (Ephexin-2)",0.670266330992447,0
"P29374","AT-rich interactive domain-containing protein 4A (ARID domain-containing protein 4A) (Retinoblastoma-binding protein 1) (RBBP-1)",0.673391192968508,0
"Q92974","Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40)",0.617375557616713,0
"O43307","Rho guanine nucleotide exchange factor 9 (Collybistin) (PEM-2 homolog) (Rac/Cdc42 guanine nucleotide exchange factor 9)",0.663409301709288,0
"A1IGU5","Rho guanine nucleotide exchange factor 37",0.673391192968508,0
"Q86WX3","Active regulator of SIRT1 (40S ribosomal protein S19-binding protein 1) (RPS19-binding protein 1) (S19BP)",0.673391192968508,0
"Q8N6M6","Aminopeptidase O (AP-O) (EC 3.4.11.-)",0.64382094430458,0
"Q6UXH0","Angiopoietin-like protein 8 (Betatrophin) (Lipasin) (Refeeding-induced fat and liver protein)",0.673391192968508,0
"Q9NVM4","Protein arginine N-methyltransferase 7 (EC 2.1.1.321) (Histone-arginine N-methyltransferase PRMT7) ([Myelin basic protein]-arginine N-methyltransferase PRMT7)",0.673391192968508,0
"Q8WW43","Gamma-secretase subunit APH-1B (APH-1b) (Aph-1beta) (Presenilin-stabilization factor-like)",0.673391192968508,0
"Q8WZ64","Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2 (Centaurin-delta-1) (Cnt-d1) (Protein PARX)",0.674914977253655,0
"Q8WWN8","Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 (Centaurin-delta-3) (Cnt-d3)",0.630957113201714,0
"A5YM69","Rho guanine nucleotide exchange factor 35 (Rho guanine nucleotide exchange factor 5-like protein)",0.620202287884811,0
"O15013","Rho guanine nucleotide exchange factor 10",0.663597014266154,0
"Q96PE2","Rho guanine nucleotide exchange factor 17 (164 kDa Rho-specific guanine-nucleotide exchange factor) (p164-RhoGEF) (p164RhoGEF) (Tumor endothelial marker 4)",0.673391192968508,0
"Q96DR7","Rho guanine nucleotide exchange factor 26 (SH3 domain-containing guanine exchange factor)",0.673391192968508,0
"Q96BI3","Gamma-secretase subunit APH-1A (APH-1a) (Aph-1alpha) (Presenilin-stabilization factor)",0.673391192968508,0
"Q8TER5","Rho guanine nucleotide exchange factor 40 (Protein SOLO)",0.673391192968508,0
"Q5SQI0","Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)",0.673391192968508,0
"Q96DT6","Cysteine protease ATG4C (EC 3.4.22.-) (AUT-like 3 cysteine endopeptidase) (Autophagin-3) (Autophagy-related cysteine endopeptidase 3) (Autophagy-related protein 4 homolog C)",0.673391192968508,0
"Q8WYN0","Cysteine protease ATG4A (EC 3.4.22.-) (AUT-like 2 cysteine endopeptidase) (Autophagin-2) (Autophagy-related cysteine endopeptidase 2) (Autophagy-related protein 4 homolog A) (hAPG4A)",0.663597014266154,0
"Q86TL0","Cysteine protease ATG4D (EC 3.4.22.-) (AUT-like 4 cysteine endopeptidase) (Autophagin-4) (Autophagy-related cysteine endopeptidase 4) (Autophagy-related protein 4 homolog D) [Cleaved into: Cysteine protease ATG4D, mitochondrial]",0.673391192968508,0
"Q8N4T4","Rho guanine nucleotide exchange factor 39",0.658307936928581,0
"P23634","Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 3.6.3.8) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4)",0.594242745461773,0
"Q13790","Apolipoprotein F (Apo-F) (Lipid transfer inhibitor protein) (LTIP)",0.594242745461773,0
"Q9NR80","Rho guanine nucleotide exchange factor 4 (APC-stimulated guanine nucleotide exchange factor 1) (Asef) (Asef1)",0.594242745461773,0
"Q14865","AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B) (MRF1-like protein) (Modulator recognition factor 2) (MRF-2)",0.673391192968508,0
"Q9NR48","Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.43) (ASH1-like protein) (huASH1) (Absent small and homeotic disks protein 1 homolog) (Lysine N-methyltransferase 2H)",0.566196281082991,0.00013250298131708
"Q6ZW61","Bardet-Biedl syndrome 12 protein",0.566196281082991,0.00013250298131708
"Q9Y4P1","Cysteine protease ATG4B (EC 3.4.22.-) (AUT-like 1 cysteine endopeptidase) (Autophagin-1) (Autophagy-related cysteine endopeptidase 1) (Autophagy-related protein 4 homolog B) (hAPG4B)",0.658462523740117,0
"Q8NCR0","UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (EC 2.4.1.-) (Beta-1,3-N-acetylgalactosaminyltransferase II)",0.673391192968508,0
"P56817","Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)",0.620202287884811,0
"O43681","ATPase ASNA1 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)",0.620202287884811,0
"Q9P2W7","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 1) (Glucuronosyltransferase P) (GlcAT-P) (UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase) (GlcUAT-P)",0.579523872620467,0
"Q9UL15","BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)",0.594242745461773,0
"O43505","Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)",0.5580583896471,0
"O60909","Beta-1,4-galactosyltransferase 2 (Beta-1,4-GalTase 2) (Beta4Gal-T2) (b4Gal-T2) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2) [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]",0.648568967801776,0.000662514906585398
"Q8TAM1","Bardet-Biedl syndrome 10 protein",0.578088423656199,0.000640431076365885
"Q9NY97","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 (EC 2.4.1.149) (Beta-1,3-N-acetylglucosaminyltransferase 1) (BGnT-1) (Beta-1,3-Gn-T1) (Beta3Gn-T1) (Beta-1,3-galactosyltransferase 7) (Beta-1,3-GalTase 7) (Beta3Gal-T7) (Beta3GalT7) (b3Gal-T7) (Beta-3-Gx-T7) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 7) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2) (BGnT-2) (Beta-1,3-Gn-T2) (Beta-1,3-N-acetylglucosaminyltransferase 2) (Beta3Gn-T2) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 7)",0.578088423656199,0.000640431076365885
"Q7Z7M8","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 (BGnT-8) (Beta-1,3-Gn-T8) (Beta-1,3-N-acetylglucosaminyltransferase 8) (Beta3Gn-T8) (EC 2.4.1.-)",0.578088423656199,0.000640431076365885
"O60513","Beta-1,4-galactosyltransferase 4 (Beta-1,4-GalTase 4) (Beta4Gal-T4) (b4Gal-T4) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4) [Includes: N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Lactotriaosylceramide beta-1,4-galactosyltransferase (EC 2.4.1.275) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase)]",0.626959939931982,0
"Q67FW5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1 (BGnT-like protein 1) (Beta1,3-N-acetylglucosaminyltransferase-like protein 1) (Beta3Gn-T-like protein 1) (Beta3GnTL1) (EC 2.4.1.-) (Beta-1,3-N-acetylglucosaminyltransferase 8) (BGnT-8) (Beta-1,3-Gn-T8) (Beta3Gn-T8)",0.633772801554702,0
"Q9NPZ5","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 2) (GlcAT-D) (UDP-glucuronosyltransferase S) (GlcAT-S) (Glucuronosyltransferase S)",0.674153085111082,0
"Q9Y2A9","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3 (EC 2.4.1.149) (Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase) (EC 2.4.1.146) (Beta-1,3-galactosyltransferase 8) (Beta-1,3-GalTase 8) (Beta3Gal-T8) (Beta3GalT8) (b3Gal-T8) (Beta-3-Gx-T8) (Core 1 extending beta-1,3-N-acetylglucosaminyltransferase) (Core1-beta3GlcNAcT) (Transmembrane protein 3) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 8) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3) (BGnT-3) (Beta-1,3-Gn-T3) (Beta-1,3-N-acetylglucosaminyltransferase 3) (Beta3Gn-T3) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 8)",0.555894174285588,0
"Q6UX72","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 (BGnT-9) (Beta-1,3-Gn-T9) (Beta-1,3-N-acetylglucosaminyltransferase 9) (Beta3Gn-T9) (EC 2.4.1.-)",0.555894174285588,0
"Q99933","BAG family molecular chaperone regulator 1 (BAG-1) (Bcl-2-associated athanogene 1)",0.579523872620467,0
"O95817","BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)",0.605295702486639,0
"Q6Y288","Beta-1,3-glucosyltransferase (Beta3Glc-T) (EC 2.4.1.-) (Beta 3-glucosyltransferase) (Beta-3-glycosyltransferase-like)",0.6020825051897,0
"Q9C0J1","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4 (EC 2.4.1.149) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4) (BGnT-4) (Beta-1,3-Gn-T4) (Beta-1,3-N-acetylglucosaminyltransferase 4) (Beta3Gn-T4)",0.555894174285588,0
"Q6ZMB0","Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.147) (Core 3 synthase) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6) (BGnT-6) (Beta-1,3-Gn-T6) (Beta-1,3-N-acetylglucosaminyltransferase 6) (Beta3Gn-T6)",0.6020825051897,0
"Q9UBX8","Beta-1,4-galactosyltransferase 6 (Beta-1,4-GalTase 6) (Beta4Gal-T6) (b4Gal-T6) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 6) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 6) [Includes: Glucosylceramide beta-1,4-galactosyltransferase (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:glucosylceramide beta-1,4-galactosyltransferase)]",0.633772801554702,0
"Q96L58","Beta-1,3-galactosyltransferase 6 (Beta-1,3-GalTase 6) (Beta3Gal-T6) (Beta3GalT6) (EC 2.4.1.134) (GAG GalTII) (Galactosyltransferase II) (Galactosylxylosylprotein 3-beta-galactosyltransferase) (UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6)",0.605295702486639,0
"O60512","Beta-1,4-galactosyltransferase 3 (Beta-1,4-GalTase 3) (Beta4Gal-T3) (b4Gal-T3) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3) [Includes: N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]",0.6020825051897,0
