"uniprotID","proteinName","radiality","integration"
"P35611","Alpha-adducin (Erythrocyte adducin subunit alpha)",0.000397508943951239,0.633231747714324
"P35612","Beta-adducin (Erythrocyte adducin subunit beta)",0.000386467028841482,0.55853319199682
"Q09428","ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)",0.000386467028841482,0.55853319199682
"Q9UEY8","Gamma-adducin (Adducin-like protein 70)",0.000397508943951239,0.55854423391193
"O00763","Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta) [Includes: Biotin carboxylase (EC 6.3.4.14)]",0,0.619661234044433
"Q9UKV3","Apoptotic chromatin condensation inducer in the nucleus (Acinus)",0.00013250298131708,0.663674307671923
"P41181","Aquaporin-2 (AQP-2) (ADH water channel) (Aquaporin-CD) (AQP-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct)",0.00013250298131708,0.663674307671923
"O14613","Cdc42 effector protein 2 (Binder of Rho GTPases 1)",0.00013250298131708,0.669957157369374
"Q9UKI2","Cdc42 effector protein 3 (Binder of Rho GTPases 2) (MSE55-related Cdc42-binding protein)",0.00013250298131708,0.669957157369374
"Q6NZY7","Cdc42 effector protein 5 (Binder of Rho GTPases 3)",0,0.649386069519898
"Q86YS7","C2 domain-containing protein 5 (C2 domain-containing phosphoprotein of 138 kDa)",0,0.656762068813215
"Q9BXN2","C-type lectin domain family 7 member A (Beta-glucan receptor) (C-type lectin superfamily member 12) (Dendritic cell-associated C-type lectin 1) (DC-associated C-type lectin 1) (Dectin-1)",0,0.663674307671923
"P00167","Cytochrome b5 (Microsomal cytochrome b5 type A) (MCB5)",0.0443884987412217,0.709741177509827
"Q08495","Dematin (Dematin actin-binding protein) (Erythrocyte membrane protein band 4.9)",0.000265005962634159,0.663166379576874
"O00418","Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)",0.000265005962634159,0.663166379576874
