Entry,Entry name,Protein names,Length,Mass,Annotation,Date of creation,Protein existence
Q9H479,FN3K_HUMAN,Fructosamine-3-kinase (EC 2.7.1.-),309,"35,171",4 out of 5,2001-05-04,Evidence at protein level
Q8N3X1,FNBP4_HUMAN,Formin-binding protein 4 (Formin-binding protein 30),1017,"110,266",4 out of 5,2007-05-29,Evidence at protein level
Q9Y2H6,FND3A_HUMAN,Fibronectin type-III domain-containing protein 3A (Human gene expressed in odontoblasts),1198,"131,852",5 out of 5,2004-07-19,Evidence at protein level
Q5VTL7,FNDC7_HUMAN,Fibronectin type III domain-containing protein 7,733,"78,236",2 out of 5,2008-04-08,Evidence at transcript level
Q8TF40,FNIP1_HUMAN,Folliculin-interacting protein 1,1166,"130,555",5 out of 5,2007-10-23,Evidence at protein level
P15408,FOSL2_HUMAN,Fos-related antigen 2 (FRA-2),326,"35,193",5 out of 5,1990-04-01,Evidence at protein level
P55317,FOXA1_HUMAN,Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1) (Transcription factor 3A) (TCF-3A),472,"49,148",5 out of 5,1996-10-01,Evidence at protein level
P55316,FOXG1_HUMAN,Forkhead box protein G1 (Brain factor 1) (BF-1) (BF1) (Brain factor 2) (BF-2) (BF2) (hBF-2) (Forkhead box protein G1A) (Forkhead box protein G1B) (Forkhead box protein G1C) (Forkhead-related protein FKHL1) (HFK1) (Forkhead-related protein FKHL2) (HFK2) (Forkhead-related protein FKHL3) (HFK3),489,"52,352",5 out of 5,1996-10-01,Evidence at protein level
Q9P0K8,FOXJ2_HUMAN,Forkhead box protein J2 (Fork head homologous X),574,"62,395",5 out of 5,2001-04-27,Evidence at protein level
A8MYZ6,FOXO6_HUMAN,Forkhead box protein O6,492,"50,595",3 out of 5,2008-02-05,Evidence at protein level
O15409,FOXP2_HUMAN,Forkhead box protein P2 (CAG repeat protein 44) (Trinucleotide repeat-containing gene 10 protein),715,"79,919",5 out of 5,2001-12-05,Evidence at protein level
Q9BZS1,FOXP3_HUMAN,"Forkhead box protein P3 (Scurfin) [Cleaved into: Forkhead box protein P3, C-terminally processed; Forkhead box protein P3 41 kDa form]",431,"47,244",5 out of 5,2001-06-20,Evidence at protein level
